listing_id,title,model_family,generation_number,is_pro,storage_gb_numeric,storage_category,storage_options_gb,storage_flag_corrected,condition,condition_group,price,price_bucket,price_per_gb,wasPrice,price_discount_pct,has_discount,available,available_disclosed,sold,sold_disclosed,seller,itemLocation,us_state,lastUpdated,date_disclosed,is_bundle_listing,is_suspicious_price,location,iphone_type,generation_group,market_density,price_gap,top_seller_dominance
1,Apple iPhone 12 Pro Max - 512 GB - Blue (Unlocked) With Tik Tock,iPhone 12 Pro Max,12,True,512.0,512GB,512GB,False,Used,Second-hand,2500.0,$1300+,4.8828125,,,False,0.0,False,0.0,False,Seller 697,"Ashtabula, Ohio, United States",OH,,False,False,False,OH,Pro,Mid-Gen (12-13),3,4867.01,4.6875
2,open box Apple iPhone 14 Pro MAX 256gb purple color Factory Unlocked,iPhone 14 Pro Max,14,True,256.0,256GB,256GB,False,Open Box,Like New,769.99,$600-899,3.0077734375,,,False,0.0,False,0.0,False,Seller 019,"Granada Hills, California, United States",CA,,False,False,False,CA,Pro,Modern (14+),58,2750.0,8.085106382978724
3,open box Apple iPhone 14 128gb purple color Factory Unlocked,iPhone 14,14,False,128.0,128GB,128GB,False,Open Box,Like New,339.99,$200-399,2.656171875,,,False,0.0,False,0.0,False,Seller 019,"Granada Hills, California, United States",CA,,False,False,False,CA,Standard,Modern (14+),40,1329.99,21.492537313432834
4,open box Apple iPhone 14+ plus 128gb Black color Factory Unlocked,iPhone 14,14,False,128.0,128GB,128GB,False,Open Box,Like New,395.99,$200-399,3.093671875,,,False,0.0,False,0.0,False,Seller 019,"Granada Hills, California, United States",CA,,False,False,False,CA,Standard,Modern (14+),40,1329.99,21.492537313432834
5,Apple iPhone 12 128GB Unlocked MODEL A2172 Blue color open box,iPhone 12,12,False,128.0,128GB,128GB,False,Open Box,Like New,238.99,$200-399,1.867109375,,,False,1.0,True,0.0,False,Seller 019,"Granada Hills, California, United States",CA,,False,False,False,CA,Standard,Mid-Gen (12-13),23,4428.01,45.073891625615765
6,Apple iPhone 14+ plus 256gb Blue color Factory Unlocked,iPhone 14,14,False,256.0,256GB,256GB,False,Used,Second-hand,365.99,$200-399,1.4296484375,,,False,0.0,False,0.0,False,Seller 019,"Granada Hills, California, United States",CA,,False,False,False,CA,Standard,Modern (14+),40,1329.99,21.492537313432834
7,Apple iPhone 12 128GB Unlocked MODEL A2172 Blue color,iPhone 12,12,False,128.0,128GB,128GB,False,Open Box,Like New,231.99,$200-399,1.812421875,,,False,1.0,True,0.0,False,Seller 019,"Granada Hills, California, United States",CA,,False,False,False,CA,Standard,Mid-Gen (12-13),23,4428.01,45.073891625615765
8,open box Apple iPhone 13 128GB Blue Unlocked 1 year ex warranty,iPhone 13,13,False,128.0,128GB,128GB,False,Open Box,Like New,329.99,$200-399,2.578046875,,,False,0.0,False,1.0,True,Seller 019,"Granada Hills, California, United States",CA,,False,False,False,CA,Standard,Mid-Gen (12-13),22,4935.0,20.909090909090907
9,Apple iPhone 16 - 128 GB - Black (Unlocked) OPEN BOX 100% 🔋,iPhone 16,16,False,128.0,128GB,128GB,False,Open Box,Like New,575.0,$400-599,4.4921875,,,False,0.0,False,0.0,False,Seller 157,"Taunton, Massachusetts, United States",MA,,False,False,False,MA,Standard,Modern (14+),2,639.5,7.207207207207207
10,"Apple iPhone 17 Pro Max, Deep Blue, 512g, Model A3257, New, Sealed att",iPhone 17 Pro Max,17,True,,Tidak Diketahui,,False,New,Second-hand,1390.0,$1300+,,,,False,0.0,False,0.0,False,Seller 566,"Houston, Texas, United States",TX,,False,False,False,TX,Pro,Modern (14+),19,2710.0,8.176100628930817
11,iPhone 16 Sealed Verizon 128gb,iPhone 16,16,False,128.0,128GB,128GB,False,New,Second-hand,599.0,$400-599,4.6796875,,,False,0.0,False,0.0,False,Seller 274,"Brighton, Massachusetts, United States",MA,,False,False,False,MA,Standard,Modern (14+),2,639.5,7.207207207207207
12,Apple iPhone 14 - 128GB fully Unlocked,iPhone 14,14,False,128.0,128GB,128GB,False,Used,Second-hand,314.99,$200-399,2.460859375,,,False,2.0,True,0.0,False,Seller 019,"Granada Hills, California, United States",CA,,False,False,False,CA,Standard,Modern (14+),40,1329.99,21.492537313432834
13,Read* Apple iPhone 14 - 128 GB - Blue (Unlocked) ~61043,iPhone 14,14,False,128.0,128GB,128GB,False,Used,Second-hand,300.0,$200-399,2.34375,,,False,0.0,False,0.0,False,Seller 696,"Covington, Georgia, United States",GA,,False,False,False,GA,Standard,Modern (14+),2,1329.99,21.492537313432834
14,"Apple iPhone 12 Unlocked Verizon, T-Mobile, AT&T all Carriers",iPhone 12,12,False,,Tidak Diketahui,,False,Used,Second-hand,180.0,<$200,,,,False,0.0,False,0.0,False,Seller 691,"New York, New York, United States",NY,,False,False,False,NY,Standard,Mid-Gen (12-13),24,4428.01,45.073891625615765
